1 Ksiegowa Anita Nowak 1974 Wroclaw Ptasia wyzsze nie 0
2 Informatyk Jan Kowalski 1975 Olesnica Sloneczna wyzsze tak 4
3 Ochroniarz Mateusz Kitel 1970 Trzebnica Kosciuszki podstawowe tak 5
4 Dyrektor Mariusz Szufla 1968 Sycow Olesnicka wyzsze nie 0
5 Sprzataczka Janina Szczurek 1959 Sycow brak podstawowe tak 6
6 Z-caDyrektora Maria Polny 1980 Wroclaw Szklana wyzsze tak 2
7 Informatyk Janusz Kowal 1975 Olesnica Slonia wyzsze tak 4
8 Ksiegowa Agnieszka Norman 1973 Wroclaw Ptysia wyzsze tak 0
9 Informatyk Jan Kowalski 1975 Olesnica Sloneczna wyzsze tak 4
10 Ochroniarz Mariusz Kipur 1970 Trzebnica Koscielna srednie nie 0
11 Asystent Marian Szuflada 1968 Sycow Olchowa wyzsze nie 0
12 Sprzataczka Anna Szczur 1959 Sycow Jasminowa podstawowe tak 6
13 Sekretarka Marianna Polak 1980 Wroclaw Symetryczna wyzsze nie 0
14 Kierowca Marzena Drozd 1984 Wroclaw Systematyczna srednie tak 2
15 Kierowca Sylwia Jadlo 1983 Wroclaw Systemowa srednie tak 3
16 Kierowca Jowita Zawialo 1985 Wroclaw Rytmiczna srednie tak 4
17 Kierowca Kacper Zawada 1984 Wroclaw Systematyczna srednie tak 3
18 Kierowca Ryszard Sujma 1988 Wroclaw Katowa srednie nie 0
19 Kierowca Mateusz Koc 1984 Wroclaw Rynek srednie tak 3
20 Kierowca Kamil Sowa 1976 Wroclaw Systematyczna srednie tak 1
21 Kierowca Ronald Zyga 1985 Wroclaw Konwaliowa srednie nie 0
22 Kierowca Romuald Kich 1987 Wroclaw Krzywa srednie tak 5
24 Kierowca Krzysztof Rogatka 1989 Olesnica A.Krajowej wyzsze tak 3
25 Kierowca Konstanty Kapec 1974 Wroclaw Ludowa srednie nie 0
26 Kierowca Ronald Chusta 1985 Wroclaw Rozmyta srednie tak 3
27 Kierowca Marian Zaba 1984 Wroclaw Zachlapana srednie tak 1
28 Kierowca Zygmunt Mroz 1989 Wroclaw Fryzjerska srednie tak 0
29 Kierowca Zbigniew Zaspal 1960 Wroclaw Gumowa srednie nie 0
30 Kierowca Janusz Ryk 1966 Wroclaw Fabryczna srednie tak 4
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
